,text,label
3570,retreated,1
355,bleak,1
2041,hissed,1
1219,0 motivation to study unhappy  ,1
1155,I MISSED YOU A WHOLE LOT unhappy  ,1
1316,Ps4 mate,1
592,Miss Petite happy Thursday happy   looking forward to the weekend?,0
1718, but the customs of Argentina that fill you with paperwork unhappy ,1
1307, no offence :)** Don't want to hurt anyone. All i,0
1613,unhappy  sorry to hear this.....,1
1589,famine,1
3978,spookier,1
1088,more goodies spotted! :D,0
3074,obsessively,1
2003,zest,0
597,cold,1
3722,screw-up,1
1064,die,1
280,chivalrous,0
545,chaff,1
3062,oblivious,1
3031,neurotically,1
592,coarse,1
2166,impede,1
2142,Her back unhappy  .2,1
1169,disdainful,1
987,desititute,1
2260, give it a Like happy  it's all about choice! :D,0
1428,okay happy,0
782,Koalas are dying of thirst  and it's all because of us unhappy  .5,1
1536,Ravel Morrison unhappy  ,1
1966,this is jimin to yoongi unhappy  .6,1
2103,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this ?,0
825,darken,1
2047,hogs,1
3155,overbearing,1
3103,offensive,1
448,brutalising,1
2052,All of the park areas in Paris are marked as green on Google maps,1
768,Sorry I didn't make it to the book drive yesterday couldn't get outta work unhappy ,1
3701,scolding,1
1042,devastation,1
1699,Wish I could stay in bed all day and listen to the rain sad ,1
1525,rewarding,0
304,we can get pork katsudon at Tokyo Diner! Tho it doesn't have egg in it unhappy ,1
1456,reforming,0
1275,dissappointing,1
115,Definitely my arms unhappy  .4,1
183,beloved,0
1613,skilled,0
400,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this.1,0
1098,disaffirm,1
1078, but I'm a bit rusty now! unhappy  .1,1
182,believeable,0
1942,harassed,1
3853,slaughter,1
241,A Treaty could provide security/ tech for culture development happy,0
1504,restful,0
760,fortune,0
3943,solicitude,1
200,Does anybody know if the Rand's likely to fall against the dollar? I got some money  I need to change into R but it keeps getting stronger unhappy ,1
603,fuck get me followers unhappy  my ratio is amazing,1
143,antagonistic,1
2256,Being a parent is very challenging. If we cannot control ourselves we'll give the worst output to the children In other word,1
886,defective,1
848,gratification,0
4616,venomous,1
57,I miss my baby unhappy .1,1
1804,thriving,0
2698,letch,1
3115,opinionated,1
915,dejection,1
754,i wasn't saying i read a book today,0
3812,shun,1
980,derisiveness,1
360,cooperative,0
3024,nepotism,1
619,complicit,1
1023,deterrent,1
4343,twists,1
455,I miss Jamie boy and we're both sick unhappy ,1
4171,suspicious,1
1122,Right I seriously need a decent Butterfly Tattoo design,0
1324, or SHIT for short :)*Thanks to my friend maddy over at,0
4078,stringently,1
2711,licentiousness,1
144,big love for Anne cox happy,0
4093,stump,1
2246,inanely,1
75,agreeable,0
3840,skimpy,1
1078,ding,1
1055,keenness,0
1998,wows,0
4125,subtract,1
1587,Thanks for sharing my iris photo. I really appreciate it smile.1,0
760,crippling,1
166,=Thumbnail UHC= This is my best render ever :Dand Favs are appreciated brosOpinios ?,0
1473,relent,0
646,hey.1,0
1529,richly,0
915,homage,0
4588,uproarious,1
62, DM us happy  S.1,0
1606,I look good in blue happy,0
721,one direction (band)  whats going on unhappy ,1
151,anti-social,1
3457,raping,1
863,gumption,0
569,Well thanks for stoping by unhappy ,1
3827,sin,1
2495,interrupt,1
1223,optimistic,0
1189,Helloo :D car fox  (ror925),0
2064,so upsetting the abuse these kids get unhappy   3 ,1
1898,grotesque,1
2175,imperil,1
1420,Die evil raven! :D,0
1934,Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon.3,0
400,decency,0
1050,jubiliant,0
2845,mendacity,1
3098,offence,1
3045,nonresponsive,1
1175,disgracefully,1
4522,unresolved,1
1705,flimsy,1
1804,funnily,1
951,imaculate,0
1380,shouldn't keep Kenyans complaining on ,1
4515,unrealistic,1
1087,dirts,1
1534,expensive,1
1374,drag,1
3118,oppose,1
3819,sickness,1
1444,recovery,0
2467,instigator,1
930,humane,0
112,Thanks for the recent follow Happy to connect happy  have a great Thursday..17,0
554,One by one Allah ease my problem . Lot of thanks to Him crying with joy,0
1944,well-intentioned,0
4261,timidly,1
1310,distorts,1
1356,Koalas are dying of thirst  and it's all because of us unhappy  .14,1
1297,dissolution,1
3631,run-down,1
1332,I love you so much Rui-chan smile  smile,0
3863,sloooooooooooooow,1
148,anti-occupation,1
1348, have a great,0
1765,fret,1
363,jungkook looks like he gives the biggest and warmest hugs unhappy  ,1
4723,wince,1
3270,perversely,1
1022,deterioration,1
2249,Thanks for the recent follow Happy to connect happy  have a great Thursday..3,0
1852,glaringly,1
3426,questionable,1
326,compliant,0
669,conspiracies,1
207,attacks,1
1028, but I liked seeing her posts and love her wri ,1
1696,striking,0
676,famed,0
543,enhance,0
1165,discrimination,1
4518,unrelenting,1
436,dignify,0
1349,the email I was hoping I'd get today,1
103,amuse,0
243,backwoods,1
3205,pales,1
4404,undercutting,1
1831,gasp,1
2519,invective,1
1276,pep,0
722,fervidly,0
2786,madness,1
1091,arisun at town hall has pretty terrible service and rude staff. we only went there because ICG's fryer was broken unhappy ,1
4237,thicker,1
3553,resistance,1
126,aspirations,0
909,Ah Baba no idea tori olorun. May I never be a victim of such case ,1
511,Go back to school for music! I think I will in time happy.2,0
1962,willing,0
2161,impatience,1
1555,I just told them to bugger off and hung up! They waned access to my pc. If they phoned someone like my Gran ,1
1960,harm,1
1700,flicker,1
137,annoyingly,1
202,atrocious,1
685,fantastically,0
2497,interruptions,1
2605,jerky,1
647,conflicted,1
1225,orderly,0
3589,ridiculous,1
1274,happy weed day without them is not the same anymore unhappy ,1
1552,safe,0
1668,sprightly,0
2231,inability,1
1992,worthiness,0
1220,Share the love: thanks for being top new followers this week happy.1,0
4554,untenable,1
1934,well,0
1510,revel,0
572,opera Nirjhor As long as they are not claiming to be the first one :D /Rosi,0
2245,inane,1
1537,RT: good evening everyone happy  join our twitter party tonight. official tagline:TANNER WelcomeBackPH TMI,0
2037,hiliarious,1
2269,incommensurate,1
630,concerns,1
663,i miss my boys unhappy  i have started working with my own local boys but they are very nervous college friends,1
1427,realizable,0
1721,forbidden,1
706,i still cant unhappy ,1
1087,thanks happy,0
2159,impaired,1
2471,insubstantially,1
1521,excuses,1
3094,oddities,1
610,examplary,0
1545,rockstars,0
367,i love you but I can%27t be arsed i don%27t know why people keep saying it unhappy ,1
2228,impunity,1
676,Why am I better at pen then pencil?dafaqcomonI just want to be a good drawer unhappy ,1
2042,As Nani in lies unconscious,1
2912,misrepresent,1
2789,malady,1
2107,Just wandering around,0
1809,fury,1
33,accusations,1
754,cringe,1
1241,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this.4,0
4256,thumbs-down,1
787,When will you notice me? unhappy ,1
2598,jeer,1
3530,repressive,1
12,accomodative,0
462,bulkier,1
1575,fallacious,1
2921,mistakenly,1
4687,wastefulness,1
581,20% off all Knight  Day Jewellery ends this Sunday-Why not pick up something nice for,0
140,anomaly,1
1961,wieldy,0
1977,hate,1
241,backwardness,1
1013,destitution,1
3272,perversity,1
967,deprecate,1
1476,wont be able to stream tonight i'm sorry guys unhappy ,1
32,made dinner for two tonight happy.1,0
1041,My only one cat yang manja sangat and now someone has took him unhappy  ,1
442, keep smiling happy,0
21,Koalas are dying of thirst  and it's all because of us unhappy  .9,1
3670,scam,1
2504,intolerance,1
2940,mocking,1
477,bumping,1
687,fascinating,0
13,abruptly,1
1859,unbiased,0
4543,unstable,1
1894,grisly,1
2464,instability,1
4239,thorny,1
